geoid,TotalCRA_hh
24510010100,8056.087402
24510010200,2022.900757
24510010300,2690.602783
24510010400,23333.56836
24510010500,3247.718262
24510020100,2118.343262
24510020200,1782.278442
24510020300,19761.95117
24510030100,7010.535645
24510030200,33482.875
24510040100,78577.83594
24510040200,17563.70703
24510060100,1090.436646
24510060200,907.6655273
24510060300,2237.547852
24510060400,511.4942627
24510070100,559.8504028
24510070200,744.6184082
24510070300,1500
24510070400,472.4770508
24510080101,1376.733398
24510080102,3848.265869
24510080200,3337.171143
24510080301,1024.347778
24510080302,1020.73938
24510080400,135.501358
24510080500,2712.686523
24510080600,1345.96582
24510080700,940.2390137
24510080800,3006.849365
24510090100,176.1597137
24510090200,913.5180664
24510090300,1317.634766
24510090400,23681.96289
24510090500,3186.274414
24510090600,121.3047943
24510090700,765.6826782
24510090800,12876.81836
24510090900,255.1440277
24510100100,392.8571472
24510100200,990.1345215
24510100300,
24510110100,8032.141113
24510110200,12609.06934
24510120100,1740.55835
24510120201,5232.638672
24510120202,2304.176025
24510120300,3289.962891
24510120400,2979.844971
24510120500,8654.233398
24510120600,13702.47461
24510120700,15041.16504
24510130100,647.1816406
24510130200,162.4579163
24510130300,4721.291992
24510130400,938.3155518
24510130600,16311.68066
24510130700,7674.753418
24510130803,1502.838623
24510130804,11073.56348
24510130805,5303.602051
24510130806,21543.89258
24510140100,1258.286133
24510140200,114.4444427
24510140300,927.2550659
24510150100,590.0452271
24510150200,1116.995117
24510150300,222.222229
24510150400,3010.480469
24510150500,7606.741699
24510150600,3038.986328
24510150701,0
24510150702,256.7567444
24510150800,2156.818115
24510150900,489.8523865
24510151000,1157.3302
24510151100,565.8444214
24510151200,0
24510151300,4556.27832
24510160100,633.086853
24510160200,115.2968063
24510160300,1093.959717
24510160400,120.4516907
24510160500,2795.265625
24510160600,2261.293213
24510160700,321.7503357
24510160801,0
24510160802,904.7619019
24510170100,3224.593506
24510170200,45.52352142
24510170300,512.4835815
24510180100,599.789917
24510180200,4938.619141
24510180300,7753.031738
24510190100,1733.252075
24510190200,1287.690186
24510190300,2615.120361
24510200100,158.5820923
24510200200,5040.313477
24510200300,1657.142822
24510200400,4688.171875
24510200500,5742.557129
24510200600,15359.39355
24510200701,171.4743652
24510200702,752.9691162
24510200800,4065.192139
24510210100,25508.14648
24510210200,16797.23438
24510220100,18006.81836
24510230100,23840.52344
24510230200,18809.09961
24510230300,10179.44238
24510240100,7829.251465
24510240200,9957.107422
24510240300,4871.633789
24510240400,5093.54834
24510250101,0
24510250102,341.5233459
24510250103,13345.20898
24510250203,6962.697266
24510250204,37.2376442
24510250205,19416.56055
24510250206,52861.3125
24510250207,4560.948242
24510250301,10667.86133
24510250303,18207.48242
24510250401,4041.009521
24510250402,1277.115967
24510250500,18736.27539
24510250600,
24510260101,620.6357422
24510260102,664.9543457
24510260201,1165.069702
24510260202,139.8601379
24510260203,930.3674927
24510260301,2344.345703
24510260302,914.2614746
24510260303,26764.24805
24510260401,1979.150635
24510260402,13918.20605
24510260403,9448.55957
24510260404,84248.40625
24510260501,9150.498047
24510260604,51.97505188
24510260605,31224.41797
24510260700,19391.30469
24510260800,8114.194336
24510260900,16391.30469
24510261000,1970.824951
24510261100,6033.112793
24510270101,1591.973267
24510270102,293.9832458
24510270200,4756.062988
24510270301,518.6757202
24510270302,7392.481445
24510270401,3934.228271
24510270402,4015.097656
24510270501,1974.248901
24510270502,2857.142822
24510270600,995.0276489
24510270701,0
24510270702,1286.523193
24510270703,2697.777832
24510270801,0
24510270802,1964.448486
24510270803,1055.126465
24510270804,824.9651489
24510270805,6163.992188
24510270901,152.3461304
24510270902,213.4670563
24510270903,729.927002
24510271001,948.6260376
24510271002,328.903656
24510271101,303.7694092
24510271102,6604.966309
24510271200,10492.30078
24510271300,12115.77148
24510271400,10201.21582
24510271501,12114.88379
24510271503,9435.458984
24510271600,392.2470398
24510271700,1079.148438
24510271801,2265.873047
24510271802,816.666687
24510271900,6766.644531
24510272003,2054.571533
24510272004,1779.539673
24510272005,1724.137939
24510272006,2072.672607
24510272007,3247.374023
24510280101,15222.62012
24510280102,3098.206543
24510280200,791.5966187
24510280301,2109.375
24510280302,392.620636
24510280401,0
24510280402,575
24510280403,586.4378662
24510280404,0
24510280500,2271.617432
